conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9916072-47e1-4466-9908-e7d8f654adc9,skill/competence,transversal,ymmärtää puhuttua ukrainaa,released,,Ymmärtää puhuttua ukrainaa.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,ukraina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,knowledge,transversal,tšekki,released,,Tšekin kieli. Tšekki on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/da4fed26-1991-45bd-b7e0-4eded5dcee10,skill/competence,transversal,ymmärtää kirjoitettua sloveenia,released,,Lukea ja ymmärtää sloveeniksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,sloveeni
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db751c12-2062-477b-b2b2-6be80daa1ff8,skill/competence,transversal,viestiä suullisesti kurdiksi,released,puhua kurdia,Puhua kurdin kieltä.,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,kurdi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dc052a4f-fb8e-4edb-a575-3a63ddd5b94b,skill/competence,transversal,viestiä suullisesti puolaksi,released,puhua puolaa,Puhua puolaa.,http://data.europa.eu/esco/skill/f3e9b964-0c2d-46c4-a895-8b3583054d69,puola
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcdff38c-01b1-4e44-bc2f-f69b889d45bb,skill/competence,transversal,viestiä suullisesti makedoniaksi,released,puhua makedoniaa,Puhua makedoniaa.,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,makedonia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dd5cb6ea-3818-4734-816d-821a67a3684e,skill/competence,transversal,viestiä suullisesti japaniksi,released,puhua japania,Puhua japania.,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,japani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,knowledge,transversal,unkari,released,,Unkarin kieli. Unkari on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df794a74-0392-4178-918b-e38e68487325,skill/competence,transversal,ymmärtää puhuttua tamilia,released,,Ymmärtää puhuttua tamilia.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,tamili
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,knowledge,transversal,pandžabi,released,panjabi | punjabi,Pandžabin kieli.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,kielet | osata kieliä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e0f20875-de6a-4795-9788-6a32be41512f,skill/competence,transversal,ymmärtää kirjoitettua kroaattia,released,,Lukea ja ymmärtää kroaatiksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,kroaatti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e18ee06c-7a0f-47d5-8143-345b8a6f4739,skill/competence,transversal,ymmärtää puhuttua oksitaania,released,ymmärtää puhuttua provensaalia,Ymmärtää puhuttua oksitaania.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,oksitaani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e1ebf53c-8800-402c-9e61-e19ac072c52d,skill/competence,transversal,ymmärtää puhuttua hindiä,released,,Ymmärtää puhuttua hindiä.,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,hindi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e29c14e1-60c7-444c-b3d0-43d6bee04340,skill/competence,transversal,kirjoittaa limburgia,released,,Kirjoittaa tekstejä limburgin kielellä.,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,limburgi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e3332a83-c688-4838-bd19-e66f6da2201e,skill/competence,transversal,ymmärtää puhuttua biharia,released,,Ymmärtää puhuttua biharia.,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,bihari
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e35cfb6e-ea8e-4aef-aab9-3cbc7d79647b,skill/competence,transversal,kirjoittaa hollantia,released,,Kirjoittaa tekstejä hollannin kielellä.,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,hollanti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e396053a-7820-4c4d-9ba9-20d66753f50e,skill/competence,transversal,ymmärtää puhuttua sardia,released,,Ymmärtää puhuttua sardia.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,sardi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e39c8636-6bbc-44c3-88ba-de059ac2396c,skill/competence,transversal,viestiä suullisesti serbiaksi,released,puhua serbiaa,Puhua serbiaa.,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,serbia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e3a22d2c-2b2e-4eda-b756-2a1908be79b7,skill/competence,transversal,ymmärtää puhuttua limburgia,released,,Ymmärtää puhuttua limburgia.,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,limburgi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e58ea17c-1442-4b34-8ec6-0587a5fb55a6,skill/competence,transversal,ymmärtää kirjoitettua kreikkaa,released,,Lukea ja ymmärtää kreikaksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,kreikka
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5dbcfcf-3139-40e2-87ed-f7154a0a70a4,skill/competence,transversal,ymmärtää kirjoitettua bengalia,released,,Lukea ja ymmärtää bengaliksi kirjoitettuja tekstejä.,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,bengali
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,knowledge,transversal,ranska,released,,Ranskan kieli. Ranska on EU:n virallinen kieli ja työkieli.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,osata kieliä | kielet
